Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total
2022,2,Buenos Aires,"30,639.00","28,323.00","295,238.00","307,554.00","273,954.00","129,869.00","3,535,757.00","65,849.00","4,667,183.00"
2022,2,Capital Federal,517.00,598.00,"36,036.00","72,434.00","55,372.00","31,571.00","1,229,254.00","105,607.00","1,536,771.00"
2022,2,Catamarca,71.00,413.00,"3,678.00","6,155.00","7,165.00","3,393.00","43,926.00","2,207.00","67,008.00"
2022,2,Chaco,461.00,"1,047.00","17,603.00","20,109.00","8,391.00","15,974.00","76,271.00","3,708.00","143,564.00"
2022,2,Chubut,109.00,"1,444.00","45,804.00","31,217.00","3,429.00","14,526.00","15,394.00","20,021.00","162,805.00"
2022,2,Córdoba,99.00,"11,971.00","160,486.00","120,485.00","71,923.00","28,645.00","6,194.00","13,426.00","1,026,435.00"
2022,2,Corrientes,67.00,"3,937.00","24,253.00","24,842.00","8,001.00","21,719.00","55,071.00","7,107.00","144,997.00"
2022,2,Entre Ríos,107.00,"5,656.00","48,637.00","48,557.00","18,512.00","32,355.00","98,769.00","16,759.00","269,352.00"
2022,2,Formosa,97.00,407.00,"23,834.00","19,706.00",633.00,591.00,"16,326.00",590.00,"67,881.00"
2022,2,Jujuy,58.00,"1,829.00","19,458.00","1,579.00","37,786.00",549.00,"37,391.00","2,453.00","115,314.00"
2022,2,La Pampa,68.00,"1,887.00","62,546.00","9,842.00",118.00,"5,247.00","17,125.00","3,012.00","111,527.00"
2022,2,La Rioja,18.00,728.00,"3,179.00",389.00,"23,814.00","5,481.00","4,892.00",0.00,"8,603.00"
2022,2,Mendoza,103.00,"2,954.00","44,961.00","22,557.00","64,138.00","19,543.00","121,366.00",394.00,"279,562.00"
2022,2,Misiones,51.00,"3,808.00","37,254.00","21,712.00","12,774.00","19,757.00","75,107.00",835.00,"178,813.00"
2022,2,Neuquén,134.00,999.00,"38,826.00","15,066.00","9,205.00","2,039.00","76,982.00","18,717.00","161,968.00"
2022,2,Río Negro,111.00,"1,227.00","33,364.00","17,938.00","27,168.00","13,714.00","41,972.00","2,427.00","159,764.00"
2022,2,Salta,114.00,153.00,"33,732.00","72,661.00","6,012.00","1,156.00","81,478.00","6,494.00","203,177.00"
2022,2,San Juan,24.00,"2,027.00","30,385.00","11,276.00","24,649.00","3,728.00","16,701.00","11,617.00","100,407.00"
2022,2,San Luis,60.00,306.00,684.00,"21,217.00","11,052.00","67,438.00",13.00,"14,815.00","121,741.00"
2022,2,Santa Cruz,52.00,"6,841.00","12,348.00","11,369.00","11,885.00","2,454.00","3,592.00",644.00,"49,185.00"
2022,2,Santa Fe,468.00,"11,757.00","138,534.00","204,381.00","74,133.00","58,114.00","373,888.00","17,584.00","878,859.00"
2022,2,Santiago Del Estero,178.00,"1,401.00","29,581.00","59,931.00","14,606.00",883.00,"10,672.00",792.00,"118,044.00"
2022,2,Tierra Del Fuego,22.00,831.00,"12,052.00","14,828.00","19,968.00","1,712.00","1,006.00","3,351.00","5,377.00"
2022,2,Tucumán,39.00,"2,195.00","34,461.00","43,513.00","23,634.00","4,863.00","145,541.00",281.00,"254,527.00"
2022,1,Buenos Aires,"31,591.00","30,056.00","313,382.00","321,756.00","290,127.00","161,183.00","3,381,049.00","2,628.00","4,555,424.00"
2022,1,Capital Federal,527.00,"5,575.00","39,918.00","7,739.00","61,053.00","43,289.00","1,188,072.00","1,717.00","1,417,541.00"
2022,1,Catamarca,71.00,456.00,"4,386.00","7,009.00","8,773.00","3,761.00","35,715.00","2,207.00","62,378.00"
2022,1,Chaco,461.00,"1,099.00","16,888.00","21,235.00","20,898.00","13,012.00","62,946.00",758.00,"144,119.00"
2022,1,Chubut,113.00,"1,677.00","61,369.00","31,856.00","3,308.00","13,871.00","14,055.00","15,607.00","171,628.00"
2022,1,Córdoba,100.00,"12,782.00","165,922.00","126,009.00","73,967.00","34,892.00","577,027.00","13,104.00","1,003,803.00"
2022,1,Corrientes,67.00,"4,029.00","24,563.00","25,665.00","27,077.00","10,452.00","43,631.00","7,094.00","142,578.00"
2022,1,Entre Ríos,107.00,"5,745.00","50,075.00","4,962.00","42,294.00","21,578.00","81,757.00","1,675.00","267,926.00"
2022,1,Formosa,97.00,448.00,"24,113.00","6,945.00","6,613.00",716.00,"15,028.00",588.00,"54,548.00"
2022,1,Jujuy,58.00,"1,761.00","22,141.00","16,321.00","37,923.00",576.00,"35,287.00","2,442.00","116,509.00"
2022,1,La Pampa,301.00,"2,223.00","62,812.00","9,869.00","12,044.00",525.00,144.00,"2,833.00","109,732.00"
2022,1,La Rioja,18.00,778.00,"3,576.00","4,692.00","23,624.00","5,645.00","4,597.00",0.00,"84,303.00"
2022,1,Mendoza,114.00,"3,355.00","5,123.00","26,407.00","74,178.00","21,566.00","95,048.00","3,287.00","275,185.00"
2022,1,Misiones,51.00,"3,873.00","35,655.00","22,261.00","26,855.00","15,854.00","5,861.00","8,349.00","171,508.00"
2022,1,Neuquén,137.00,"1,123.00","39,856.00","15,623.00","11,163.00","2,654.00","71,238.00","7,885.00","149,679.00"
2022,1,Río Negro,116.00,"1,383.00","35,565.00","18,859.00","26,926.00","14,144.00","37,729.00","22,652.00","157,374.00"
2022,1,Salta,114.00,"1,725.00","35,576.00","68,246.00","6,313.00","2,214.00","76,838.00","6,489.00","197,515.00"
2022,1,San Juan,26.00,"2,269.00","32,356.00","11,914.00","25,144.00","2,088.00","11,916.00","2,465.00","88,178.00"
2022,1,San Luis,61.00,643.00,"8,287.00","3,837.00","9,802.00","68,612.00",13.00,"28,589.00","119,844.00"
2022,1,Santa Cruz,51.00,"6,898.00","1,271.00","11,502.00","12,277.00","2,628.00","2,551.00",485.00,"49,102.00"
2022,1,Santa Fe,468.00,"12,435.00","143,796.00","208,361.00","84,787.00","58,018.00","34,417.00","18,444.00","870,479.00"
2022,1,Santiago Del Estero,178.00,"1,401.00","3,022.00","6,117.00","13,542.00",849.00,"8,309.00",792.00,"116,461.00"
2022,1,Tierra Del Fuego,24.00,894.00,"12,849.00","1,564.00","18,034.00","1,767.00",982.00,"2,421.00","52,611.00"
2022,1,Tucumán,39.00,"2,212.00","36,028.00","46,961.00","21,014.00","5,211.00","133,846.00",273.00,"245,584.00"
2021,4,Buenos Aires,"37,821.00","11,026.00","35,295.00","331,292.00","297,296.00","196,021.00","3,259,793.00","22,958.00","4,509,157.00"
2021,4,Capital Federal,563.00,"1,695.00","47,133.00","81,899.00","66,135.00","66,755.00","1,147,939.00",0.00,"1,412,119.00"
2021,4,Catamarca,71.00,0.00,"6,038.00","7,855.00","9,804.00","3,262.00","29,827.00","2,233.00","5,909.00"
2021,4,Chaco,461.00,112.00,"18,845.00","22,678.00","21,937.00","13,692.00","58,435.00","7,585.00","143,745.00"
2021,4,Chubut,126.00,"1,294.00","63,698.00","39,568.00","31,175.00",578.00,"2,904.00","15,763.00","160,308.00"
2021,4,Córdoba,100.00,"2,479.00","184,548.00","130,892.00","76,246.00","41,198.00","5,387.00","12,607.00","98,677.00"
2021,4,Corrientes,67.00,645.00,"2,883.00","26,368.00","22,922.00","10,087.00","39,911.00","7,082.00","135,912.00"
2021,4,Entre Ríos,107.00,"3,024.00","56,043.00","49,636.00","38,295.00","24,068.00","7,729.00","16,583.00","265,046.00"
2021,4,Formosa,84.00,0.00,"22,908.00","6,983.00","6,811.00","1,135.00","13,775.00","1,967.00","53,663.00"
2021,4,Jujuy,58.00,175.00,"22,446.00","16,793.00","38,134.00",564.00,"33,421.00","2,324.00","113,915.00"
2021,4,La Pampa,301.00,493.00,"6,484.00","9,082.00","12,259.00","4,821.00","12,184.00","3,027.00","107,007.00"
2021,4,La Rioja,18.00,1.00,"5,018.00","5,437.00","23,559.00","5,671.00","43,424.00",0.00,"83,128.00"
2021,4,Mendoza,156.00,"1,463.00","66,428.00","30,308.00","75,214.00","18,621.00","75,031.00",366.00,"267,587.00"
2021,4,Misiones,51.00,5.00,"41,916.00","23,554.00","26,721.00","15,954.00","54,596.00","8,335.00","171,132.00"
2021,4,Neuquén,140.00,940.00,"42,313.00","13,264.00","10,515.00",331.00,"69,217.00","7,767.00","147,466.00"
2021,4,Río Negro,156.00,"1,174.00","38,373.00","19,878.00","31,255.00",413.00,"36,142.00","22,645.00","153,753.00"
2021,4,Salta,114.00,20.00,"40,673.00","69,324.00","6,642.00","3,535.00","72,622.00","6,475.00","199,405.00"
2021,4,San Juan,44.00,"1,442.00","28,906.00","10,955.00","23,978.00",398.00,98.00,"4,435.00","79,958.00"
2021,4,San Luis,62.00,264.00,855.00,"4,276.00","9,107.00","67,363.00",9.00,"29,218.00","118,849.00"
2021,4,Santa Cruz,52.00,297.00,"20,305.00","11,641.00","13,054.00",177.00,876.00,491.00,"48,486.00"
2021,4,Santa Fe,467.00,581.00,"169,706.00","206,856.00","8,569.00","62,349.00","322,015.00","18,777.00","866,441.00"
2021,4,Santiago Del Estero,178.00,909.00,"31,915.00","61,524.00","12,205.00",800.00,"7,537.00",793.00,"115,861.00"
2021,4,Tierra Del Fuego,26.00,385.00,"13,505.00","16,534.00","16,562.00","1,748.00","1,017.00",258.00,"52,357.00"
2021,4,Tucumán,39.00,97.00,"37,321.00","48,736.00","21,023.00","5,326.00","125,857.00",240.00,"238,639.00"
2021,3,Buenos Aires,"37,193.00","31,149.00","1,108,940.00","248,153.00","141,383.00","192,797.00","2,482,266.00","9,728.00","4,251,609.00"
2021,3,Capital Federal,295.00,603.00,"156,978.00","67,013.00","39,785.00","73,502.00","1,075,229.00",0.00,"1,413,405.00"
2021,3,Catamarca,71.00,0.00,"6,755.00","8,428.00","10,517.00","1,659.00","26,618.00","2,206.00","56,254.00"
2021,3,Chaco,301.00,112.00,"22,545.00","20,986.00","23,852.00","14,412.00","49,705.00","7,958.00","139,871.00"
2021,3,Chubut,104.00,105.00,"89,168.00","26,281.00","18,538.00",532.00,"1,643.00","14,907.00","156,066.00"
2021,3,Córdoba,99.00,"2,452.00","204,989.00","141,285.00","6,505.00","47,198.00","476,459.00","9,256.00","946,788.00"
2021,3,Corrientes,67.00,645.00,"29,629.00","28,478.00","24,792.00","9,687.00","35,468.00","5,053.00","133,819.00"
2021,3,Entre Ríos,107.00,"3,024.00","61,354.00","59,776.00","39,114.00","16,284.00","67,961.00","12,755.00","260,375.00"
2021,3,Formosa,381.00,0.00,"22,778.00","7,142.00","6,978.00","1,192.00","12,707.00","1,617.00","52,795.00"
2021,3,Jujuy,48.00,175.00,"23,884.00","16,417.00","37,755.00",561.00,"29,917.00","2,401.00","111,158.00"
2021,3,La Pampa,298.00,313.00,"65,063.00","7,395.00","8,737.00","4,023.00","10,506.00","4,152.00","100,487.00"
2021,3,La Rioja,18.00,1.00,"5,366.00","5,979.00","23,315.00","4,868.00","42,613.00",0.00,"8,216.00"
2021,3,Mendoza,36.00,31.00,"151,871.00","1,264.00","62,628.00","7,596.00","21,087.00",50.00,"255,939.00"
2021,3,Misiones,51.00,5.00,"41,932.00","25,099.00","26,079.00","14,792.00","42,291.00","8,279.00","158,528.00"
2021,3,Neuquén,112.00,327.00,"57,441.00","8,566.00","6,234.00","3,631.00","57,919.00","5,579.00","139,809.00"
2021,3,Río Negro,125.00,557.00,"68,991.00",373.00,"1,488.00","2,282.00","34,011.00","20,009.00","144,585.00"
