Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
2022,2,Buenos Aires,"350,652.00","2,719,613.00","1,399,043.00","126,847.00","71,028.00","4,667,183.00"
2022,2,Capital Federal,"145,491.00","1,232,226.00","121,506.00","5,757.00","31,791.00","1,536,771.00"
2022,2,Catamarca,"11,928.00",943.00,"42,087.00","1,329.00","2,234.00","67,008.00"
2022,2,Chaco,"29,552.00","61,284.00","42,194.00","8,178.00","2,356.00","143,564.00"
2022,2,Chubut,"45,377.00","69,242.00","9,574.00","29,784.00","8,828.00","162,805.00"
2022,2,Córdoba,"179,181.00","467,595.00","308,895.00","61,107.00","9,657.00","1,026,435.00"
2022,2,Corrientes,"38,468.00","75,769.00","18,181.00","7,256.00","5,323.00","144,997.00"
2022,2,Entre Ríos,"63,794.00","131,029.00","35,839.00","26,098.00","12,592.00","269,352.00"
2022,2,Formosa,"15,397.00","25,487.00","9,875.00","1,691.00",212.00,"67,881.00"
2022,2,Jujuy,"20,303.00","54,495.00","34,184.00","3,955.00","2,377.00","115,314.00"
2022,2,La Pampa,"7,796.00","59,273.00","22,994.00",202.00,"1,264.00","111,527.00"
2022,2,La Rioja,"7,759.00","52,656.00","19,189.00","6,395.00",31.00,"8,603.00"
2022,2,Mendoza,"37,663.00","77,504.00","135,504.00","26,964.00","1,927.00","279,562.00"
2022,2,Misiones,"37,208.00","8,926.00","33,649.00","11,074.00","7,622.00","178,813.00"
2022,2,Neuquén,"29,749.00","74,905.00","28,824.00","27,371.00","1,119.00","161,968.00"
2022,2,Río Negro,"3,605.00","4,704.00","40,946.00","1,676.00","18,968.00","159,764.00"
2022,2,Salta,"42,665.00","96,178.00","47,076.00","10,068.00",719.00,"203,177.00"
2022,2,San Juan,"3,857.00","19,734.00","12,328.00","21,859.00","7,916.00","100,407.00"
2022,2,San Luis,686.00,"29,034.00",248.00,"70,614.00","14,985.00","121,741.00"
2022,2,Santa Cruz,"1,017.00","23,725.00","10,815.00","3,896.00",579.00,"49,185.00"
2022,2,Santa Fe,"198,492.00","428,233.00","189,503.00","43,081.00","1,955.00","878,859.00"
2022,2,Santiago Del Estero,"16,561.00","80,338.00","11,605.00","6,618.00","2,922.00","118,044.00"
2022,2,Tierra Del Fuego,"12,754.00","39,837.00",403.00,125.00,651.00,"5,377.00"
2022,2,Tucumán,"85,893.00","15,327.00","148,823.00","3,997.00",487.00,"254,527.00"
2022,1,Buenos Aires,"392,045.00","2,728,865.00","1,242,121.00","125,521.00","66,872.00","4,555,424.00"
2022,1,Capital Federal,"10,229.00","1,217,225.00","62,308.00","5,784.00","29,934.00","1,417,541.00"
2022,1,Catamarca,"14,181.00","15,517.00","29,118.00","1,328.00","2,234.00","62,378.00"
2022,1,Chaco,"32,391.00","64,546.00","36,662.00","8,164.00","2,356.00","144,119.00"
2022,1,Chubut,"44,133.00","66,667.00","9,184.00","30,592.00","21,052.00","171,628.00"
2022,1,Córdoba,"19,561.00","501,799.00","235,838.00","60,843.00","9,713.00","1,003,803.00"
2022,1,Corrientes,"40,462.00","79,093.00","10,875.00","6,774.00","5,374.00","142,578.00"
2022,1,Entre Ríos,"67,159.00","138,986.00","23,091.00","26,098.00","12,592.00","267,926.00"
2022,1,Formosa,"16,397.00","15,927.00","5,146.00","16,876.00",202.00,"54,548.00"
2022,1,Jujuy,"21,307.00","60,616.00","25,949.00","4,662.00","3,975.00","116,509.00"
2022,1,La Pampa,"8,003.00","58,978.00","21,739.00","19,903.00","1,109.00","109,732.00"
2022,1,La Rioja,"9,103.00","59,228.00","9,546.00","6,395.00",31.00,"84,303.00"
2022,1,Mendoza,"49,464.00","74,145.00","123,228.00","26,969.00","1,379.00","275,185.00"
2022,1,Misiones,"39,147.00","91,752.00","25,178.00","7,807.00","7,624.00","171,508.00"
2022,1,Neuquén,"28,443.00",732.00,"24,193.00","23,098.00",745.00,"149,679.00"
2022,1,Río Negro,"38,662.00","45,366.00","38,037.00","16,815.00","18,494.00","157,374.00"
2022,1,Salta,"44,714.00","98,667.00","40,994.00",595.00,719.00,"197,515.00"
2022,1,San Juan,"34,038.00","14,449.00","11,294.00","20,723.00","7,674.00","88,178.00"
2022,1,San Luis,"7,987.00","11,296.00",31.00,"71,809.00","28,721.00","119,844.00"
