Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
2022,2,Buenos Aires,"4,660,984.00","6,199.00","4,667,183.00"
2022,2,Capital Federal,"1,534,626.00","2,145.00","1,536,771.00"
2022,2,Catamarca,"67,007.00",1.00,"67,008.00"
2022,2,Chaco,"143,559.00",5.00,"143,564.00"
2022,2,Chubut,"161,901.00",904.00,"162,805.00"
2022,2,Córdoba,"1,026,367.00",68.00,"1,026,435.00"
2022,2,Corrientes,"144,993.00",4.00,"144,997.00"
2022,2,Entre Ríos,"26,933.00",22.00,"269,352.00"
2022,2,Formosa,"67,881.00",0.00,"67,881.00"
2022,2,Jujuy,"115,314.00",0.00,"115,314.00"
2022,2,La Pampa,"111,356.00",171.00,"111,527.00"
2022,2,La Rioja,"86,026.00",4.00,"8,603.00"
2022,2,Mendoza,"278,785.00",777.00,"279,562.00"
2022,2,Misiones,"178,813.00",0.00,"178,813.00"
2022,2,Neuquén,"1,615.00",468.00,"161,968.00"
2022,2,Río Negro,"159,216.00",548.00,"159,764.00"
2022,2,Salta,"203,172.00",5.00,"203,177.00"
2022,2,San Juan,"100,126.00",281.00,"100,407.00"
2022,2,San Luis,"121,559.00",182.00,"121,741.00"
2022,2,Santa Cruz,"48,987.00",198.00,"49,185.00"
2022,2,Santa Fe,"878,749.00",110.00,"878,859.00"
2022,2,Santiago Del Estero,"118,042.00",2.00,"118,044.00"
2022,2,Tierra Del Fuego,"53,458.00",312.00,"5,377.00"
2022,2,Tucumán,"254,497.00",30.00,"254,527.00"
2022,1,Buenos Aires,"4,549,131.00","6,293.00","4,555,424.00"
2022,1,Capital Federal,"1,415,378.00","2,163.00","1,417,541.00"
2022,1,Catamarca,"62,377.00",1.00,"62,378.00"
2022,1,Chaco,"144,114.00",5.00,"144,119.00"
2022,1,Chubut,"170,701.00",927.00,"171,628.00"
2022,1,Córdoba,"1,003,729.00",74.00,"1,003,803.00"
2022,1,Corrientes,"142,574.00",4.00,"142,578.00"
2022,1,Entre Ríos,"267,904.00",22.00,"267,926.00"
2022,1,Formosa,"54,548.00",0.00,"54,548.00"
2022,1,Jujuy,"116,509.00",0.00,"116,509.00"
2022,1,La Pampa,"10,956.00",172.00,"109,732.00"
2022,1,La Rioja,"84,299.00",4.00,"84,303.00"
2022,1,Mendoza,"274,399.00",786.00,"275,185.00"
2022,1,Misiones,"171,508.00",0.00,"171,508.00"
2022,1,Neuquén,"149,208.00",471.00,"149,679.00"
2022,1,Río Negro,"156,821.00",553.00,"157,374.00"
2022,1,Salta,"19,751.00",5.00,"197,515.00"
2022,1,San Juan,"87,888.00",290.00,"88,178.00"
2022,1,San Luis,"119,659.00",185.00,"119,844.00"
2022,1,Santa Cruz,"48,898.00",204.00,"49,102.00"
2022,1,Santa Fe,"870,364.00",115.00,"870,479.00"
2022,1,Santiago Del Estero,"116,459.00",2.00,"116,461.00"
2022,1,Tierra Del Fuego,"52,298.00",313.00,"52,611.00"
