Año,Trimestre,Ingresos (miles de pesos),Periodo
2022,2,"60,942,843.00",Abr-Jun 2022
2022,1,"56,195,811.00",Ene-Mar 2022
2021,4,"45,467,887.00",Oct-Dic 2021
2021,3,"42,999,944.00",Jul-Sept 2021
2021,2,"38,239,667.00",Abr-Jun 2021
2021,1,"36,676,371.00",Ene-Mar 2021
2020,4,"33,539,703.00",Oct-Dic 2020
2020,3,"31,997,445.00",Jul-Sept 2020
2020,2,"32,102,476.00",Abr-Jun 2020
2020,1,"29,946,216.00",Ene-Mar 2020
2019,4,"24,169,251.00",Oct-Dic 2019
2019,3,"21,652,748.00",Jul-Sept 2019
2019,2,"20,743,118.00",Abr-Jun 2019
2019,1,"20,207,414.00",Ene-Mar 2019
2018,4,"16,637,687.00",Oct-Dic 2018
2018,3,"15,410,981.00",Jul-Sept 2018
2018,2,"14,319,467.00",Abr-Jun 2018
2018,1,"13,171,459.00",Ene-Mar 2018
2017,4,"11,226,127.00",Oct-Dic 2017
2017,3,"10,065,998.00",Jul-Sept 2017
2017,2,"9,678,647.00",Abr-Jun 2017
2017,1,"8,701,201.00",Ene-Mar 2017
2016,4,"7,483,980.00",Oct-Dic 2016
2016,3,"6,912,442.00",Jul-Sept 2016
2016,2,"6,534,241.00",Abr-Jun 2016
2016,1,"5,936,845.00",Ene-Mar 2016
2015,4,"5,376,899.00",Oct-Dic 2015
2015,3,"5,153,739.00",Jul-Sept 2015
2015,2,"4,701,791.00",Abr-Jun 2015
2015,1,"4,876,385.00",Ene-Mar 2015
2014,4,"3,950,441.00",Oct-Dic 2014
2014,3,"3,478,638.00",Jul-Sept 2014
2014,2,"3,270,816.00",Abr-Jun 2014
2014,1,"2,984,054.00",Ene-Mar 2014
