Año,Trimestre,Provincia,Mbps (Media de bajada)
2022,2,Buenos Aires,66.00
2022,2,Capital Federal,94.00
2022,2,Catamarca,57.00
2022,2,Chaco,51.00
2022,2,Chubut,15.00
2022,2,Córdoba,54.00
2022,2,Corrientes,43.00
2022,2,Entre Ríos,40.00
2022,2,Formosa,28.00
2022,2,Jujuy,29.00
2022,2,La Pampa,16.00
2022,2,La Rioja,43.00
2022,2,Mendoza,30.00
2022,2,Misiones,46.00
2022,2,Neuquén,47.00
2022,2,Río Negro,33.00
2022,2,Salta,39.00
2022,2,San Juan,14.00
2022,2,San Luis,19.00
2022,2,Santa Cruz,12.00
2022,2,Santa Fe,42.00
2022,2,Santiago Del Estero,16.00
2022,2,Tierra Del Fuego,11.00
2022,2,Tucumán,50.00
2022,1,Buenos Aires,63.00
2022,1,Capital Federal,88.00
2022,1,Catamarca,51.00
2022,1,Chaco,46.00
2022,1,Chubut,13.00
2022,1,Córdoba,50.00
2022,1,Corrientes,38.00
2022,1,Entre Ríos,36.00
2022,1,Formosa,30.00
2022,1,Jujuy,28.00
2022,1,La Pampa,15.00
2022,1,La Rioja,41.00
2022,1,Mendoza,26.00
2022,1,Misiones,42.00
2022,1,Neuquén,43.00
2022,1,Río Negro,31.00
2022,1,Salta,37.00
2022,1,San Juan,12.00
2022,1,San Luis,21.00
2022,1,Santa Cruz,11.00
2022,1,Santa Fe,39.00
2022,1,Santiago Del Estero,14.00
2022,1,Tierra Del Fuego,11.00
2022,1,Tucumán,47.00
2021,4,Buenos Aires,60.00
2021,4,Capital Federal,83.00
2021,4,Catamarca,46.00
2021,4,Chaco,42.00
2021,4,Chubut,9.00
2021,4,Córdoba,46.00
2021,4,Corrientes,36.00
2021,4,Entre Ríos,33.00
2021,4,Formosa,29.00
2021,4,Jujuy,27.00
2021,4,La Pampa,14.00
2021,4,La Rioja,40.00
2021,4,Mendoza,22.00
2021,4,Misiones,39.00
2021,4,Neuquén,40.00
2021,4,Río Negro,27.00
2021,4,Salta,34.00
2021,4,San Juan,11.00
2021,4,San Luis,21.00
2021,4,Santa Cruz,9.00
2021,4,Santa Fe,36.00
2021,4,Santiago Del Estero,14.00
2021,4,Tierra Del Fuego,11.00
2021,4,Tucumán,45.00
2021,3,Buenos Aires,56.00
2021,3,Capital Federal,78.00
2021,3,Catamarca,43.00
2021,3,Chaco,39.00
2021,3,Chubut,8.00
2021,3,Córdoba,42.00
2021,3,Corrientes,32.00
2021,3,Entre Ríos,30.00
2021,3,Formosa,27.00
2021,3,Jujuy,26.00
2021,3,La Pampa,13.00
2021,3,La Rioja,39.00
2021,3,Mendoza,13.00
2021,3,Misiones,31.00
2021,3,Neuquén,38.00
2021,3,Río Negro,25.00
2021,3,Salta,31.00
2021,3,San Juan,7.00
2021,3,San Luis,22.00
2021,3,Santa Cruz,8.00
2021,3,Santa Fe,33.00
2021,3,Santiago Del Estero,13.00
2021,3,Tierra Del Fuego,10.00
2021,3,Tucumán,42.00
2021,2,Buenos Aires,53.00
2021,2,Capital Federal,73.00
2021,2,Catamarca,42.00
2021,2,Chaco,37.00
2021,2,Chubut,8.00
2021,2,Córdoba,40.00
2021,2,Corrientes,30.00
2021,2,Entre Ríos,28.00
2021,2,Formosa,24.00
2021,2,Jujuy,26.00
2021,2,La Pampa,12.00
2021,2,La Rioja,39.00
2021,2,Mendoza,13.00
2021,2,Misiones,29.00
2021,2,Neuquén,36.00
2021,2,Río Negro,24.00
2021,2,Salta,29.00
2021,2,San Juan,7.00
2021,2,San Luis,22.00
2021,2,Santa Cruz,8.00
2021,2,Santa Fe,31.00
2021,2,Santiago Del Estero,13.00
2021,2,Tierra Del Fuego,9.00
2021,2,Tucumán,40.00
2021,1,Buenos Aires,51.00
2021,1,Capital Federal,68.00
2021,1,Catamarca,40.00
2021,1,Chaco,34.00
2021,1,Chubut,8.00
2021,1,Córdoba,36.00
2021,1,Corrientes,26.00
2021,1,Entre Ríos,24.00
2021,1,Formosa,21.00
2021,1,Jujuy,27.00
2021,1,La Pampa,11.00
2021,1,La Rioja,13.00
2021,1,Mendoza,13.00
2021,1,Misiones,25.00
2021,1,Neuquén,34.00
2021,1,Río Negro,22.00
2021,1,Salta,27.00
2021,1,San Juan,7.00
2021,1,San Luis,22.00
2021,1,Santa Cruz,8.00
2021,1,Santa Fe,28.00
2021,1,Santiago Del Estero,12.00
2021,1,Tierra Del Fuego,9.00
2021,1,Tucumán,38.00
2020,4,Buenos Aires,50.00
2020,4,Capital Federal,67.00
2020,4,Catamarca,38.00
2020,4,Chaco,32.00
2020,4,Chubut,7.00
2020,4,Córdoba,35.00
2020,4,Corrientes,25.00
2020,4,Entre Ríos,24.00
2020,4,Formosa,20.00
2020,4,Jujuy,25.00
2020,4,La Pampa,10.00
2020,4,La Rioja,13.00
2020,4,Mendoza,11.00
2020,4,Misiones,25.00
2020,4,Neuquén,34.00
2020,4,Río Negro,22.00
2020,4,Salta,25.00
2020,4,San Juan,6.00
2020,4,San Luis,21.00
2020,4,Santa Cruz,7.00
2020,4,Santa Fe,27.00
2020,4,Santiago Del Estero,11.00
2020,4,Tierra Del Fuego,8.00
2020,4,Tucumán,36.00
2020,3,Buenos Aires,48.00
2020,3,Capital Federal,64.00
2020,3,Catamarca,37.00
2020,3,Chaco,31.00
2020,3,Chubut,7.00
2020,3,Córdoba,34.00
2020,3,Corrientes,24.00
2020,3,Entre Ríos,22.00
2020,3,Formosa,18.00
2020,3,Jujuy,22.00
2020,3,La Pampa,11.00
2020,3,La Rioja,12.00
2020,3,Mendoza,10.00
2020,3,Misiones,24.00
2020,3,Neuquén,31.00
2020,3,Río Negro,21.00
2020,3,Salta,25.00
2020,3,San Juan,6.00
2020,3,San Luis,21.00
2020,3,Santa Cruz,7.00
2020,3,Santa Fe,26.00
2020,3,Santiago Del Estero,11.00
2020,3,Tierra Del Fuego,9.00
2020,3,Tucumán,35.00
2020,2,Buenos Aires,46.00
2020,2,Capital Federal,60.00
2020,2,Catamarca,35.00
2020,2,Chaco,28.00
2020,2,Chubut,8.00
2020,2,Córdoba,31.00
2020,2,Corrientes,22.00
2020,2,Entre Ríos,20.00
2020,2,Formosa,17.00
2020,2,Jujuy,16.00
2020,2,La Pampa,8.00
2020,2,La Rioja,12.00
2020,2,Mendoza,9.00
2020,2,Misiones,23.00
2020,2,Neuquén,29.00
2020,2,Río Negro,20.00
2020,2,Salta,23.00
2020,2,San Juan,6.00
2020,2,San Luis,21.00
2020,2,Santa Cruz,7.00
2020,2,Santa Fe,24.00
2020,2,Santiago Del Estero,10.00
2020,2,Tierra Del Fuego,8.00
2020,2,Tucumán,33.00
2020,1,Buenos Aires,45.00
